Project Name,Package Name,Type Name,Method Name,Code Smell
java,org.apache.roller.weblogger.business.pings,PingQueueProcessor,processQueue,Long Statement
java,org.apache.roller.weblogger.business.pings,PingQueueProcessor,handlePingError,Long Statement
java,org.apache.roller.weblogger.business.pings,PingQueueProcessor,handlePingError,Long Statement
java,org.apache.roller.weblogger.business.pings,WeblogUpdatePinger,sendPing,Long Statement
java,org.apache.roller.weblogger.business.plugins.entry,EncodePreTagsPlugin,render,Magic Number
java,org.apache.roller.weblogger.business.plugins.entry,SmileysPlugin,init,Long Statement
java,org.apache.roller.weblogger.business.runnable,TaskRunner,main,Magic Number
java,org.apache.roller.weblogger.business.runnable,TaskRunner,main,Magic Number
java,org.apache.roller.weblogger.business.runnable,TaskScheduler,run,Magic Number
java,org.apache.roller.weblogger.business.runnable,TaskScheduler,run,Magic Number
java,org.apache.roller.weblogger.business.runnable,TaskScheduler,runTasks,Complex Method
java,org.apache.roller.weblogger.business.runnable,TaskScheduler,runTasks,Magic Number
java,org.apache.roller.weblogger.business.runnable,TaskScheduler,runTasks,Magic Number
java,org.apache.roller.weblogger.business.runnable,ThreadManagerImpl,initialize,Magic Number
java,org.apache.roller.weblogger.business.search,IndexManager,search,Long Parameter List
java,org.apache.roller.weblogger.business.search.lucene,IndexOperation,getDocument,Complex Method
java,org.apache.roller.weblogger.business.search.lucene,IndexOperation,beginWriting,Long Statement
java,org.apache.roller.weblogger.business.search.lucene,IndexUtil,getTerm,Empty catch clause
java,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,search,Long Parameter List
java,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,createIndex,Magic Number
java,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,convertHitsToEntryList,Complex Conditional
java,org.apache.roller.weblogger.business.search.lucene,LuceneIndexManager,convertHitsToEntryList,Long Parameter List
java,org.apache.roller.weblogger.business.search.lucene,RebuildWebsiteIndexOperation,doRun,Complex Method
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,doRun,Long Statement
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,doRun,Long Statement
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,doRun,Long Statement
java,org.apache.roller.weblogger.business.search.lucene,SearchOperation,doRun,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,isCreationRequired,Complex Conditional
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,isCreationRequired,Empty catch clause
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,isUpgradeRequired,Empty catch clause
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,createDatabase,Empty catch clause
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Complex Method
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Empty catch clause
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Long Statement
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
java,org.apache.roller.weblogger.business.startup,DatabaseInstaller,upgradeDatabase,Magic Number
