Project Name,Package Name,Type Name,Code Smell
app,org.apache.roller.weblogger.ui.core.security,RollerRememberMeServices,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.security,RollerUserDetailsService,Imperative Abstraction
app,org.apache.roller.weblogger.ui.core.security,RollerUserDetailsService,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.core.tags.calendar,BigWeblogCalendarModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.filters,DeviceResolverRequestFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.filters,RequestMappingFilter,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.mobile,MobileDeviceRepository,Deficient Encapsulation
app,org.apache.roller.weblogger.ui.rendering.model,CalendarModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,ConfigModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,ConfigModel,Insufficient Modularization
app,org.apache.roller.weblogger.ui.rendering.model,FeedModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,FeedEntriesPager,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,FeedCommentsPager,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,FeedFilesPager,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,MenuModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,MessageModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,Model,Wide Hierarchy
app,org.apache.roller.weblogger.ui.rendering.model,PageModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,PlanetModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,PlanetModel,Deficient Encapsulation
app,org.apache.roller.weblogger.ui.rendering.model,PreviewPageModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,PreviewURLModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,SearchResultsModel,Unutilized Abstraction
app,org.apache.roller.weblogger.ui.rendering.model,SearchResultsModel,Deficient Encapsulation
app,org.apache.roller.weblogger.ui.rendering.model,SiteModel,Unutilized Abstraction
